country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",30-05-2025 02:00:00,15.3714823,75.1160168,OZONE,11,16,12
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",30-05-2025 02:00:00,17.321993,76.822628,PM2.5,14,44,32
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",30-05-2025 02:00:00,17.321993,76.822628,OZONE,23,27,23
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",30-05-2025 02:00:00,17.336318,76.847397,NH3,2,4,3
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB",30-05-2025 02:00:00,15.347630,76.181767,CO,57,62,60
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",30-05-2025 02:00:00,12.415911,75.735050,OZONE,3,6,4
India,Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",30-05-2025 02:00:00,23.210494,77.425409,NH3,2,3,3
India,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",30-05-2025 02:00:00,23.233584,77.400574,NO2,21,39,26
India,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",30-05-2025 02:00:00,23.233584,77.400574,OZONE,52,168,108
India,Madhya Pradesh,Damoh,"Shrivastav Colony, Damoh - MPPCB",30-05-2025 02:00:00,23.81748678,79.446246,SO2,9,10,9
India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",30-05-2025 02:00:00,22.9682591,76.064118,NO2,17,67,38
India,Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",30-05-2025 02:00:00,22.9682591,76.064118,CO,13,42,23
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",30-05-2025 02:00:00,26.203442,78.193251,NO2,7,18,9
India,Madhya Pradesh,Gwalior,"City Center, Gwalior - MPPCB",30-05-2025 02:00:00,26.203442,78.193251,SO2,4,42,22
India,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",30-05-2025 02:00:00,23.50016,80.23284,SO2,8,39,24
India,Madhya Pradesh,Maihar,"Sahilara, Maihar - KJS Cements",30-05-2025 02:00:00,24.2613009,80.7231783,CO,62,65,64
